"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance"
"PP_Lomasa_39_Miconia aureoides","MDP0743","MDP0743.mzXML","mic1aur","PP_Lomasa_39","Miconia aureoides","Melastomataceae","Miconia","PP_Lomasa_39_Miconia aureoides","PP_Lomasa_39","Miconia aureoides",4
"PP_Lomasa_39_Miconia AF-17127","MDP0742","MDP0742.mzXML","mic1AF17127","PP_Lomasa_39","Miconia AF-17127","Melastomataceae","Miconia","PP_Lomasa_39_Miconia AF-17127",NA,NA,NA
"PP_Lomasa_39_Pleurothyrium LC-4542","MDP0761","MDP0761.mzXML","ple3LC4542","PP_Lomasa_39","Pleurothyrium LC-4542","Lauraceae","Pleurothyrium","PP_Lomasa_39_Pleurothyrium LC-4542",NA,NA,NA
"PP_Lomasa_39_Cupania CMG-2731","MDP0715","MDP0715.mzXML","cupCMG2731","PP_Lomasa_39","Cupania CMG-2731","Sapindaceae","Cupania","PP_Lomasa_39_Cupania CMG-2731",NA,NA,NA
"PP_Lomasa_39_Roucheria laxiflora","MDP0771","MDP0771.mzXML","rou1lax","PP_Lomasa_39","Roucheria laxiflora","Linaceae","Roucheria","PP_Lomasa_39_Roucheria laxiflora","PP_Lomasa_39","Roucheria laxiflora",5
"PP_Lomasa_39_Hieronyma GAT-658","MDP0731","MDP0731.mzXML","hieGAT658","PP_Lomasa_39","Hieronyma GAT-658","Phyllanthaceae","Hieronyma","PP_Lomasa_39_Hieronyma GAT-658",NA,NA,NA
"PP_Lomasa_39_Tachigali alba","MDP0780","MDP0780.mzXML","tac2alb","PP_Lomasa_39","Tachigali alba","Fabaceae","Tachigali","PP_Lomasa_39_Tachigali alba","PP_Lomasa_39","Tachigali alba",2
"PP_Lomasa_39_Pourouma bicolor","MDP0764","MDP0764.mzXML","pou2bic","PP_Lomasa_39","Pourouma bicolor","Urticaceae","Pourouma","PP_Lomasa_39_Pourouma bicolor","PP_Lomasa_39","Pourouma bicolor",5
"PP_Lomasa_39_Calyptranthes AEC-151","MDP0711","MDP0711.mzXML","cal7AEC151","PP_Lomasa_39","Calyptranthes AEC-151","Myrtaceae","Calyptranthes","PP_Lomasa_39_Calyptranthes AEC-151",NA,NA,NA
"PP_Lomasa_39_Ocotea oblonga","MDP0755","MDP0755.mzXML","ocoobl","PP_Lomasa_39","Ocotea oblonga","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea oblonga","PP_Lomasa_39","Ocotea oblonga",7
"PP_Lomasa_39_Hymenopus krukovii","MDP0733","MDP0733.mzXML","hym2kru","PP_Lomasa_39","Hymenopus krukovii","Chrysobalanaceae","Hymenopus","PP_Lomasa_39_Hymenopus krukovii","PP_Lomasa_39","Hymenopus krukovii",1
"PP_Lomasa_39_Swartzia LC-6193","MDP0778","MDP0778.mzXML","swaLC6193","PP_Lomasa_39","Swartzia LC-6193","Fabaceae","Swartzia","PP_Lomasa_39_Swartzia LC-6193",NA,NA,NA
"PP_Lomasa_39_Miconia punctata","MDP0746","MDP0746.mzXML","mic1pun","PP_Lomasa_39","Miconia punctata","Melastomataceae","Miconia","PP_Lomasa_39_Miconia punctata","PP_Lomasa_39","Miconia punctata",2
"PP_Lomasa_39_Tapirira guianensis","MDP0781","MDP0781.mzXML","tap1gui","PP_Lomasa_39","Tapirira guianensis","Anacardiaceae","Tapirira","PP_Lomasa_39_Tapirira guianensis","PP_Lomasa_39","Tapirira guianensis",9
"PP_Lomasa_39_Geissanthus ambigua","MDP0727","MDP0727.mzXML","geiamb","PP_Lomasa_39","Geissanthus ambigua","Primulaceae","Geissanthus","PP_Lomasa_39_Geissanthus ambigua","PP_Lomasa_39","Geissanthus ambigua",2
"PP_Lomasa_39_Alchornea glandulosa","MDP0707","MDP0707.mzXML","alcgla","PP_Lomasa_39","Alchornea glandulosa","Euphorbiaceae","Alchornea","PP_Lomasa_39_Alchornea glandulosa","PP_Lomasa_39","Alchornea glandulosa",5
"PP_Lomasa_39_Miconia poeppigii","MDP0745","MDP0745.mzXML","mic1poe","PP_Lomasa_39","Miconia poeppigii","Melastomataceae","Miconia","PP_Lomasa_39_Miconia poeppigii","PP_Lomasa_39","Miconia poeppigii",49
"PP_Lomasa_39_Souroubea guianensis","MDP0777","MDP0777.mzXML","sougui","PP_Lomasa_39","Souroubea guianensis","Marcgraviaceae","Souroubea","PP_Lomasa_39_Souroubea guianensis","PP_Lomasa_39","Souroubea guianensis",2
"PP_Lomasa_39_Faramea candelabrum","MDP0724","MDP0724.mzXML","farcan","PP_Lomasa_39","Faramea candelabrum","Rubiaceae","Faramea","PP_Lomasa_39_Faramea candelabrum","PP_Lomasa_39","Faramea candelabrum",3
"PP_Lomasa_39_Panopsis yungasensis","MDP0758","MDP0758.mzXML","panyun","PP_Lomasa_39","Panopsis yungasensis","Proteaceae","Panopsis","PP_Lomasa_39_Panopsis yungasensis","PP_Lomasa_39","Panopsis yungasensis",3
"PP_Lomasa_39_Graffenrieda emarginata","MDP0728","MDP0728.mzXML","graema","PP_Lomasa_39","Graffenrieda emarginata","Melastomataceae","Graffenrieda","PP_Lomasa_39_Graffenrieda emarginata","PP_Lomasa_39","Graffenrieda emarginata",16
"PP_Lomasa_39_Ocotea puberula","MDP0756","MDP0756.mzXML","ocopub","PP_Lomasa_39","Ocotea puberula","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea puberula","PP_Lomasa_39","Ocotea puberula",0
"PP_Lomasa_39_Hevea guianensis","MDP0730","MDP0730.mzXML","hevgui","PP_Lomasa_39","Hevea guianensis","Euphorbiaceae","Hevea","PP_Lomasa_39_Hevea guianensis","PP_Lomasa_39","Hevea guianensis",14
"PP_Lomasa_39_Pouteria caimito","MDP0767","MDP0767.mzXML","pou3cai","PP_Lomasa_39","Pouteria caimito","Sapotaceae","Pouteria","PP_Lomasa_39_Pouteria caimito","PP_Lomasa_39","Pouteria caimito",6
"PP_Lomasa_39_Miconia splendens","MDP0747","MDP0747.mzXML","mic1spl","PP_Lomasa_39","Miconia splendens","Melastomataceae","Miconia","PP_Lomasa_39_Miconia splendens","PP_Lomasa_39","Miconia splendens",50
"PP_Lomasa_39_Ocotea aciphylla","MDP0751","MDP0751.mzXML","ocoaci","PP_Lomasa_39","Ocotea aciphylla","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea aciphylla","PP_Lomasa_39","Ocotea aciphylla",19
"PP_Lomasa_39_Ocotea LC-6203","MDP0754","MDP0754.mzXML","ocoLC6203","PP_Lomasa_39","Ocotea LC-6203","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea LC-6203",NA,NA,NA
"PP_Lomasa_39_Erythroxylum citrifolium","MDP0722","MDP0722.mzXML","ery3cit","PP_Lomasa_39","Erythroxylum citrifolium","Erythroxylaceae","Erythroxylum","PP_Lomasa_39_Erythroxylum citrifolium","PP_Lomasa_39","Erythroxylum citrifolium",1
"PP_Lomasa_39_Ladenbergia carua","MDP0736","MDP0736.mzXML","ladcar","PP_Lomasa_39","Ladenbergia carua","Rubiaceae","Ladenbergia","PP_Lomasa_39_Ladenbergia carua","PP_Lomasa_39","Ladenbergia carua",14
"PP_Lomasa_39_Ferdinandusa chlorantha","MDP0725","MDP0725.mzXML","ferchl","PP_Lomasa_39","Ferdinandusa chlorantha","Rubiaceae","Ferdinandusa","PP_Lomasa_39_Ferdinandusa chlorantha","PP_Lomasa_39","Ferdinandusa chlorantha",42
"PP_Lomasa_39_Chaetocarpus myrsinites","MDP0713","MDP0713.mzXML","cha1myr","PP_Lomasa_39","Chaetocarpus myrsinites","Peraceae","Chaetocarpus","PP_Lomasa_39_Chaetocarpus myrsinites","PP_Lomasa_39","Chaetocarpus myrsinites",2
"PP_Lomasa_39_Sloanea fendleriana","MDP0774","MDP0774.mzXML","slofen","PP_Lomasa_39","Sloanea fendleriana","Elaeocarpaceae","Sloanea","PP_Lomasa_39_Sloanea fendleriana","PP_Lomasa_39","Sloanea fendleriana",7
"PP_Lomasa_39_Elaeagia mariae","MDP0720","MDP0720.mzXML","elamar","PP_Lomasa_39","Elaeagia mariae","Rubiaceae","Elaeagia","PP_Lomasa_39_Elaeagia mariae","PP_Lomasa_39","Elaeagia mariae",5
"PP_Lomasa_39_Prunus GAT-2091","MDP0769","MDP0769.mzXML","pru2GAT2091","PP_Lomasa_39","Prunus GAT-2091","Rosaceae","Prunus","PP_Lomasa_39_Prunus GAT-2091",NA,NA,NA
"PP_Lomasa_39_Mabea anadena","MDP0739","MDP0739.mzXML","mabana","PP_Lomasa_39","Mabea anadena","Euphorbiaceae","Mabea","PP_Lomasa_39_Mabea anadena","PP_Lomasa_39","Mabea anadena",35
"PP_Lomasa_39_Pseudolmedia laevigata","MDP0770","MDP0770.mzXML","pse2lae1","PP_Lomasa_39","Pseudolmedia laevigata","Moraceae","Pseudolmedia","PP_Lomasa_39_Pseudolmedia laevigata","PP_Lomasa_39","Pseudolmedia laevigata",60
"PP_Lomasa_39_Diplotropis peruviana","MDP0719","MDP0719.mzXML","dip4per","PP_Lomasa_39","Diplotropis peruviana","Fabaceae","Diplotropis","PP_Lomasa_39_Diplotropis peruviana","PP_Lomasa_39","Diplotropis peruviana",2
"PP_Lomasa_39_Condaminea corymbosa","MDP0714","MDP0714.mzXML","con1cor","PP_Lomasa_39","Condaminea corymbosa","Rubiaceae","Condaminea","PP_Lomasa_39_Condaminea corymbosa","PP_Lomasa_39","Condaminea corymbosa",17
"PP_Lomasa_39_Dendropanax yungasensis","MDP0717","MDP0717.mzXML","den2yun","PP_Lomasa_39","Dendropanax yungasensis","Araliaceae","Dendropanax","PP_Lomasa_39_Dendropanax yungasensis","PP_Lomasa_39","Dendropanax yungasensis",1
"PP_Lomasa_39_Ternstroemia circumscissilis","MDP0782","MDP0782.mzXML","ter2cir","PP_Lomasa_39","Ternstroemia circumscissilis","Pentaphylacaceae","Ternstroemia","PP_Lomasa_39_Ternstroemia circumscissilis","PP_Lomasa_39","Ternstroemia circumscissilis",3
"PP_Lomasa_39_Mollinedia ovata","MDP0748","MDP0748.mzXML","molova","PP_Lomasa_39","Mollinedia ovata","Monimiaceae","Mollinedia","PP_Lomasa_39_Mollinedia ovata","PP_Lomasa_39","Mollinedia ovata",19
"PP_Lomasa_39_Licania boliviensis","MDP0738","MDP0738.mzXML","lic1bol","PP_Lomasa_39","Licania boliviensis","Chrysobalanaceae","Licania","PP_Lomasa_39_Licania boliviensis","PP_Lomasa_39","Licania boliviensis",4
"PP_Lomasa_39_Didymopanax AF-17370","MDP0718","MDP0718.mzXML","didAF17370","PP_Lomasa_39","Didymopanax AF-17370","Araliaceae","Didymopanax","PP_Lomasa_39_Didymopanax AF-17370",NA,NA,NA
"PP_Lomasa_39_Ocotea AEC-147","MDP0752","MDP0752.mzXML","ocoAEC147","PP_Lomasa_39","Ocotea AEC-147","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea AEC-147",NA,NA,NA
"PP_Lomasa_39_Ocotea LC-5997","MDP0753","MDP0753.mzXML","ocoLC5997","PP_Lomasa_39","Ocotea LC-5997","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea LC-5997",NA,NA,NA
"PP_Lomasa_39_Pouteria bilocularis","MDP0766","MDP0766.mzXML","pou3bil","PP_Lomasa_39","Pouteria bilocularis","Sapotaceae","Pouteria","PP_Lomasa_39_Pouteria bilocularis","PP_Lomasa_39","Pouteria bilocularis",1
"PP_Lomasa_39_Mabea macbridei","MDP0740","MDP0740.mzXML","mabmac","PP_Lomasa_39","Mabea macbridei","Euphorbiaceae","Mabea","PP_Lomasa_39_Mabea macbridei","PP_Lomasa_39","Mabea macbridei",19
"PP_Lomasa_39_Nectandra JCS-9565","MDP0750","MDP0750.mzXML","necJCS9565","PP_Lomasa_39","Nectandra JCS-9565","Lauraceae","Nectandra","PP_Lomasa_39_Nectandra JCS-9565",NA,NA,NA
"PP_Lomasa_39_Virola peruviana","MDP0785","MDP0785.mzXML","virper","PP_Lomasa_39","Virola peruviana","Myristicaceae","Virola","PP_Lomasa_39_Virola peruviana","PP_Lomasa_39","Virola peruviana",8
"PP_Lomasa_39_Virola AEC-312","MDP0784","MDP0784.mzXML","virAEC312","PP_Lomasa_39","Virola AEC-312","Myristicaceae","Virola","PP_Lomasa_39_Virola AEC-312",NA,NA,NA
"PP_Lomasa_39_Aiouea AEC-130","MDP0706","MDP0706.mzXML","aioAEC130","PP_Lomasa_39","Aiouea AEC-130","Lauraceae","Aiouea","PP_Lomasa_39_Aiouea AEC-130",NA,NA,NA
"PP_Lomasa_39_Sloanea tuerckheimii","MDP0776","MDP0776.mzXML","slotue","PP_Lomasa_39","Sloanea tuerckheimii","Elaeocarpaceae","Sloanea","PP_Lomasa_39_Sloanea tuerckheimii","PP_Lomasa_39","Sloanea tuerckheimii",1
"PP_Lomasa_39_Garcinia madruno","MDP0726","MDP0726.mzXML","garmad","PP_Lomasa_39","Garcinia madruno","Clusiaceae","Garcinia","PP_Lomasa_39_Garcinia madruno","PP_Lomasa_39","Garcinia madruno",3
"PP_Lomasa_39_Tovomita obovata","MDP0783","MDP0783.mzXML","tovobo","PP_Lomasa_39","Tovomita obovata","Clusiaceae","Tovomita","PP_Lomasa_39_Tovomita obovata","PP_Lomasa_39","Tovomita obovata",40
"PP_Lomasa_39_Calophyllum brasiliense","MDP0710","MDP0710.mzXML","cal5bra","PP_Lomasa_39","Calophyllum brasiliense","Calophyllaceae","Calophyllum","PP_Lomasa_39_Calophyllum brasiliense","PP_Lomasa_39","Calophyllum brasiliense",2
"PP_Lomasa_39_Pleurothyrium trianae","MDP0762","MDP0762.mzXML","ple3tri","PP_Lomasa_39","Pleurothyrium trianae","Lauraceae","Pleurothyrium","PP_Lomasa_39_Pleurothyrium trianae","PP_Lomasa_39","Pleurothyrium trianae",1
"PP_Lomasa_39_Persea peruviana","MDP0760","MDP0760.mzXML","per6per","PP_Lomasa_39","Persea peruviana","Lauraceae","Persea","PP_Lomasa_39_Persea peruviana","PP_Lomasa_39","Persea peruviana",3
"PP_Lomasa_39_Simarouba amara","MDP0773","MDP0773.mzXML","sim1ama","PP_Lomasa_39","Simarouba amara","Simaroubaceae","Simarouba","PP_Lomasa_39_Simarouba amara","PP_Lomasa_39","Simarouba amara",2
"PP_Lomasa_39_Ocotea subrutilans","MDP0757","MDP0757.mzXML","ocosub","PP_Lomasa_39","Ocotea subrutilans","Lauraceae","Ocotea","PP_Lomasa_39_Ocotea subrutilans","PP_Lomasa_39","Ocotea subrutilans",3
"PP_Lomasa_39_Caryocar dentatum","MDP0712","MDP0712.mzXML","car5den","PP_Lomasa_39","Caryocar dentatum","Caryocaraceae","Caryocar","PP_Lomasa_39_Caryocar dentatum","PP_Lomasa_39","Caryocar dentatum",0
"PP_Lomasa_39_Amanoa oblongifolia","MDP0708","MDP0708.mzXML","ama2obl","PP_Lomasa_39","Amanoa oblongifolia","Phyllanthaceae","Amanoa","PP_Lomasa_39_Amanoa oblongifolia","PP_Lomasa_39","Amanoa oblongifolia",5
"PP_Lomasa_39_Endlicheria aurea","MDP0721","MDP0721.mzXML","endaur","PP_Lomasa_39","Endlicheria aurea","Lauraceae","Endlicheria","PP_Lomasa_39_Endlicheria aurea","PP_Lomasa_39","Endlicheria aurea",3
"PP_Lomasa_39_Ladenbergia oblongifolia","MDP0737","MDP0737.mzXML","ladobl","PP_Lomasa_39","Ladenbergia oblongifolia","Rubiaceae","Ladenbergia","PP_Lomasa_39_Ladenbergia oblongifolia","PP_Lomasa_39","Ladenbergia oblongifolia",28
"PP_Lomasa_39_Matayba arborescens","MDP0741","MDP0741.mzXML","mat1arb","PP_Lomasa_39","Matayba arborescens","Sapindaceae","Matayba","PP_Lomasa_39_Matayba arborescens","PP_Lomasa_39","Matayba arborescens",1
"PP_Lomasa_39_Pouteria baehniana","MDP0765","MDP0765.mzXML","pou3bae","PP_Lomasa_39","Pouteria baehniana","Sapotaceae","Pouteria","PP_Lomasa_39_Pouteria baehniana","PP_Lomasa_39","Pouteria baehniana",25
"PP_Lomasa_39_Ilex petiolaris","MDP0734","MDP0734.mzXML","ilepet","PP_Lomasa_39","Ilex petiolaris","Aquifoliaceae","Ilex","PP_Lomasa_39_Ilex petiolaris","PP_Lomasa_39","Ilex petiolaris",10
"PP_Lomasa_39_Persea areolatocostae","MDP0759","MDP0759.mzXML","per6are","PP_Lomasa_39","Persea areolatocostae","Lauraceae","Persea","PP_Lomasa_39_Persea areolatocostae","PP_Lomasa_39","Persea areolatocostae",6
"PP_Lomasa_39_Symphonia globulifera","MDP0779","MDP0779.mzXML","sym1glo","PP_Lomasa_39","Symphonia globulifera","Clusiaceae","Symphonia","PP_Lomasa_39_Symphonia globulifera","PP_Lomasa_39","Symphonia globulifera",2
"PP_Lomasa_39_Vismia glabra","MDP0786","MDP0786.mzXML","visgla","PP_Lomasa_39","Vismia glabra","Hypericaceae","Vismia","PP_Lomasa_39_Vismia glabra","PP_Lomasa_39","Vismia glabra",1
"PP_Pintat_5_Ruprechtia apetala","MDP0851","MDP0851.mzXML","rupape","PP_Pintat_5","Ruprechtia apetala","Polygonaceae","Ruprechtia","PP_Pintat_5_Ruprechtia apetala","PP_Pintat_5","Ruprechtia apetala",16
"PP_Pintat_5_Cynophalla polyantha","MDP0834","MDP0834.mzXML","cynpol","PP_Pintat_5","Cynophalla polyantha","Capparaceae","Cynophalla","PP_Pintat_5_Cynophalla polyantha","PP_Pintat_5","Cynophalla polyantha",19
"PP_Pintat_5_Zanthoxylum fagara","MDP0861","MDP0861.mzXML","zanfag","PP_Pintat_5","Zanthoxylum fagara","Rutaceae","Zanthoxylum","PP_Pintat_5_Zanthoxylum fagara","PP_Pintat_5","Zanthoxylum fagara",3
"PP_Pintat_5_Capparidastrum coimbranum","MDP0828","MDP0828.mzXML","capcoi","PP_Pintat_5","Capparidastrum coimbranum","Capparaceae","Capparidastrum","PP_Pintat_5_Capparidastrum coimbranum","PP_Pintat_5","Capparidastrum coimbranum",11
"PP_Pintat_5_Neea hermaphrodita","MDP0845","MDP0845.mzXML","neeher","PP_Pintat_5","Neea hermaphrodita","Nyctaginaceae","Neea","PP_Pintat_5_Neea hermaphrodita","PP_Pintat_5","Neea hermaphrodita",0
"PP_Pintat_5_Handroanthus impetiginosus","MDP0837","MDP0837.mzXML","hanimp","PP_Pintat_5","Handroanthus impetiginosus","Bignoniaceae","Handroanthus","PP_Pintat_5_Handroanthus impetiginosus","PP_Pintat_5","Handroanthus impetiginosus",6
"PP_Pintat_5_Phyllostylon rhamnoides","MDP0847","MDP0847.mzXML","phy3rha","PP_Pintat_5","Phyllostylon rhamnoides","Ulmaceae","Phyllostylon","PP_Pintat_5_Phyllostylon rhamnoides","PP_Pintat_5","Phyllostylon rhamnoides",199
"PP_Pintat_5_Coccoloba AM-2159","MDP0833","MDP0833.mzXML","coc1AM2159","PP_Pintat_5","Coccoloba AM-2159","Polygonaceae","Coccoloba","PP_Pintat_5_Coccoloba AM-2159",NA,NA,NA
"PP_Pintat_5_Lonchocarpus MJM-7613","MDP0840","MDP0840.mzXML","lonMJM7613","PP_Pintat_5","Lonchocarpus MJM-7613","Fabaceae","Lonchocarpus","PP_Pintat_5_Lonchocarpus MJM-7613",NA,NA,NA
"PP_Pintat_5_Erythroxylum subrotundum","MDP0835","MDP0835.mzXML","ery3sub","PP_Pintat_5","Erythroxylum subrotundum","Erythroxylaceae","Erythroxylum","PP_Pintat_5_Erythroxylum subrotundum","PP_Pintat_5","Erythroxylum subrotundum",6
"PP_Pintat_5_Piptadenia buchtienii","MDP0848","MDP0848.mzXML","pip2buc","PP_Pintat_5","Piptadenia buchtienii","Fabaceae","Piptadenia","PP_Pintat_5_Piptadenia buchtienii","PP_Pintat_5","Piptadenia buchtienii",5
"PP_Pintat_5_Triplaris vestita","MDP0859","MDP0859.mzXML","tri4ves","PP_Pintat_5","Triplaris vestita","Polygonaceae","Triplaris","PP_Pintat_5_Triplaris vestita","PP_Pintat_5","Triplaris vestita",2
"PP_Pintat_5_Machaerium nyctitans","MDP0842","MDP0842.mzXML","mac1nyc","PP_Pintat_5","Machaerium nyctitans","Fabaceae","Machaerium","PP_Pintat_5_Machaerium nyctitans","PP_Pintat_5","Machaerium nyctitans",34
"PP_Pintat_5_Cariniana ianeirensis","MDP0829","MDP0829.mzXML","car4ian","PP_Pintat_5","Cariniana ianeirensis","Lecythidaceae","Cariniana","PP_Pintat_5_Cariniana ianeirensis","PP_Pintat_5","Cariniana ianeirensis",2
"PP_Pintat_5_Bauhinia tuichiensis","MDP0826","MDP0826.mzXML","bautui","PP_Pintat_5","Bauhinia tuichiensis","Fabaceae","Bauhinia","PP_Pintat_5_Bauhinia tuichiensis","PP_Pintat_5","Bauhinia tuichiensis",3
"PP_Pintat_5_Pseudobombax septenatum","MDP0850","MDP0850.mzXML","pse1sep","PP_Pintat_5","Pseudobombax septenatum","Malvaceae","Pseudobombax","PP_Pintat_5_Pseudobombax septenatum","PP_Pintat_5","Pseudobombax septenatum",3
"PP_Pintat_5_Schinopsis brasiliensis","MDP0852","MDP0852.mzXML","sch3bra","PP_Pintat_5","Schinopsis brasiliensis","Anacardiaceae","Schinopsis","PP_Pintat_5_Schinopsis brasiliensis","PP_Pintat_5","Schinopsis brasiliensis",1
"PP_Pintat_5_Seguieria aculeata","MDP0853","MDP0853.mzXML","segacu","PP_Pintat_5","Seguieria aculeata","Petiveriaceae","Seguieria","PP_Pintat_5_Seguieria aculeata",NA,NA,NA
"PP_Pintat_5_Thinouia compressa","MDP0856","MDP0856.mzXML","thi2com","PP_Pintat_5","Thinouia compressa","Sapindaceae","Thinouia","PP_Pintat_5_Thinouia compressa","PP_Pintat_5","Thinouia compressa",3
"PP_Pintat_5_Xylosma velutina","MDP0860","MDP0860.mzXML","xyl3vel","PP_Pintat_5","Xylosma velutina","Salicaceae","Xylosma","PP_Pintat_5_Xylosma velutina","PP_Pintat_5","Xylosma velutina",1
"PP_Pintat_5_Achatocarpus praecox","MDP0820","MDP0820.mzXML","achpra","PP_Pintat_5","Achatocarpus praecox","Achatocarpaceae","Achatocarpus","PP_Pintat_5_Achatocarpus praecox","PP_Pintat_5","Achatocarpus praecox",46
"PP_Pintat_5_Sideroxylon obtusifolium","MDP0854","MDP0854.mzXML","sidobt","PP_Pintat_5","Sideroxylon obtusifolium","Sapotaceae","Sideroxylon","PP_Pintat_5_Sideroxylon obtusifolium","PP_Pintat_5","Sideroxylon obtusifolium",4
"PP_Pintat_5_Machaerium hirtum","MDP0841","MDP0841.mzXML","mac1hir","PP_Pintat_5","Machaerium hirtum","Fabaceae","Machaerium","PP_Pintat_5_Machaerium hirtum","PP_Pintat_5","Machaerium hirtum",0
"PP_Pintat_5_Oxandra espintana","MDP0846","MDP0846.mzXML","oxaesp","PP_Pintat_5","Oxandra espintana","Annonaceae","Oxandra","PP_Pintat_5_Oxandra espintana","PP_Pintat_5","Oxandra espintana",5
"PP_Pintat_5_Banara tomentosa","MDP0825","MDP0825.mzXML","ban1tom","PP_Pintat_5","Banara tomentosa","Salicaceae","Banara","PP_Pintat_5_Banara tomentosa","PP_Pintat_5","Banara tomentosa",17
"PP_Pintat_5_Holocalyx balansae","MDP0838","MDP0838.mzXML","holbal","PP_Pintat_5","Holocalyx balansae","Fabaceae","Holocalyx","PP_Pintat_5_Holocalyx balansae","PP_Pintat_5","Holocalyx balansae",8
"PP_Pintat_5_Aspidosperma cylindrocarpon","MDP0824","MDP0824.mzXML","asp1cyl","PP_Pintat_5","Aspidosperma cylindrocarpon","Apocynaceae","Aspidosperma","PP_Pintat_5_Aspidosperma cylindrocarpon","PP_Pintat_5","Aspidosperma cylindrocarpon",2
"PP_Pintat_5_Trichilia catigua","MDP0857","MDP0857.mzXML","tri1cat","PP_Pintat_5","Trichilia catigua","Meliaceae","Trichilia","PP_Pintat_5_Trichilia catigua","PP_Pintat_5","Trichilia catigua",90
"PP_Pintat_5_Myrcianthes mato","MDP0844","MDP0844.mzXML","myr3mat","PP_Pintat_5","Myrcianthes mato","Myrtaceae","Myrcianthes","PP_Pintat_5_Myrcianthes mato","PP_Pintat_5","Myrcianthes mato",1
"PP_Pintat_5_Celtis loxensis","MDP0832","MDP0832.mzXML","cel2lox","PP_Pintat_5","Celtis loxensis","Cannabaceae","Celtis","PP_Pintat_5_Celtis loxensis","PP_Pintat_5","Celtis loxensis",3
"PP_Pintat_5_Ceiba boliviana","MDP0831","MDP0831.mzXML","ceibol","PP_Pintat_5","Ceiba boliviana","Malvaceae","Ceiba","PP_Pintat_5_Ceiba boliviana","PP_Pintat_5","Ceiba boliviana",15
"PP_Pintat_5_Cedrela fissilis","MDP0830","MDP0830.mzXML","cedfis","PP_Pintat_5","Cedrela fissilis","Meliaceae","Cedrela","PP_Pintat_5_Cedrela fissilis","PP_Pintat_5","Cedrela fissilis",3
"PP_Pintat_5_Poecilanthe AFC-88","MDP0849","MDP0849.mzXML","poeAFC88","PP_Pintat_5","Poecilanthe AFC-88","Fabaceae","Poecilanthe","PP_Pintat_5_Poecilanthe AFC-88",NA,NA,NA
"PP_Pintat_5_Sweetia fruticosa","MDP0855","MDP0855.mzXML","swefru","PP_Pintat_5","Sweetia fruticosa","Fabaceae","Sweetia","PP_Pintat_5_Sweetia fruticosa","PP_Pintat_5","Sweetia fruticosa",3
"PP_Pintat_5_Myracrodruon urundeuva","MDP0843","MDP0843.mzXML","myr1uru","PP_Pintat_5","Myracrodruon urundeuva","Anacardiaceae","Myracrodruon","PP_Pintat_5_Myracrodruon urundeuva","PP_Pintat_5","Myracrodruon urundeuva",9
"PP_Pintat_5_Campomanesia SPS-107","MDP0827","MDP0827.mzXML","camSPS107","PP_Pintat_5","Campomanesia SPS-107","Myrtaceae","Campomanesia","PP_Pintat_5_Campomanesia SPS-107",NA,NA,NA
"PP_Pintat_5_Amburana cearensis","MDP0821","MDP0821.mzXML","ambcea","PP_Pintat_5","Amburana cearensis","Fabaceae","Amburana","PP_Pintat_5_Amburana cearensis","PP_Pintat_5","Amburana cearensis",10
"PP_Pintat_5_Eugenia egensis","MDP0836","MDP0836.mzXML","eugege","PP_Pintat_5","Eugenia egensis","Myrtaceae","Eugenia","PP_Pintat_5_Eugenia egensis","PP_Pintat_5","Eugenia egensis",6
"PP_Pintat_5_Trichilia elegans","MDP0858","MDP0858.mzXML","tri1ele","PP_Pintat_5","Trichilia elegans","Meliaceae","Trichilia","PP_Pintat_5_Trichilia elegans","PP_Pintat_5","Trichilia elegans",6
"PP_Pintat_5_Annona emarginata","MDP0823","MDP0823.mzXML","annema","PP_Pintat_5","Annona emarginata","Annonaceae","Annona","PP_Pintat_5_Annona emarginata","PP_Pintat_5","Annona emarginata",1
"PP_Pintat_5_Anadenanthera colubrina","MDP0822","MDP0822.mzXML","anacol","PP_Pintat_5","Anadenanthera colubrina","Fabaceae","Anadenanthera","PP_Pintat_5_Anadenanthera colubrina","PP_Pintat_5","Anadenanthera colubrina",48
"PP_Pintat_5_Lachesiodendron viridiflorum","MDP0839","MDP0839.mzXML","lac1vir","PP_Pintat_5","Lachesiodendron viridiflorum","Fabaceae","Lachesiodendron","PP_Pintat_5_Lachesiodendron viridiflorum","PP_Pintat_5","Lachesiodendron viridiflorum",1
"PP_Resina_12_Neea hermaphrodita","MDP0890","MDP0890.mzXML","neeher","PP_Resina_12","Neea hermaphrodita","Nyctaginaceae","Neea","PP_Resina_12_Neea hermaphrodita","PP_Resina_12","Neea hermaphrodita",4
"PP_Resina_12_Bougainvillea modesta","MDP0868","MDP0868.mzXML","boumod","PP_Resina_12","Bougainvillea modesta","Nyctaginaceae","Bougainvillea","PP_Resina_12_Bougainvillea modesta","PP_Resina_12","Bougainvillea modesta",1
